index,stream,season,reach.original,reach,carbon,cr.area,cr.afdm,nrr
326,Este,Autumn,Buried Up,Buried,Glucose,22.03459249,20.53508826,9.536544818
327,Este,Autumn,Buried Up,Buried,Glucose,17.53063612,10.40025132,7.58723798
299,Este,Autumn,Daylight,Open,Arabinose,11.43721808,8.794066968,15.57679401
300,Este,Autumn,Daylight,Open,Arabinose,12.37139666,11.80534964,16.8490883
301,Este,Autumn,Daylight,Open,Arabinose,9.298391733,26.16949427,12.66384287
302,Este,Autumn,Daylight,Open,Arabinose,10.51372113,37.0142391,14.31904744
303,Este,Autumn,Daylight,Open,Arabinose,9.118050299,14.96950286,12.41822883
304,Este,Autumn,Daylight,Open,Arabinose,12.49791708,31.32504291,17.02140141
305,Este,Autumn,Daylight,Open,Arabinose,8.381248576,6.804226867,11.41474978
306,Este,Autumn,Daylight,Open,Arabinose,10.79556023,15.56274225,14.70289512
307,Este,Autumn,Daylight,Open,Cellobiose,11.33456979,27.5022,15.4369933
308,Este,Autumn,Daylight,Open,Cellobiose,17.36515685,14.51850679,23.65028534
309,Este,Autumn,Daylight,Open,Cellobiose,16.67674884,34.42239643,22.71271558
310,Este,Autumn,Daylight,Open,Cellobiose,13.60309701,53.17092,18.52658911
311,Este,Autumn,Daylight,Open,Cellobiose,11.16563692,41.80694494,15.20691701
312,Este,Autumn,Daylight,Open,Cellobiose,11.67021923,24.48110651,15.89412737
313,Este,Autumn,Daylight,Open,Cellobiose,11.22823258,8.949486393,15.29216849
314,Este,Autumn,Daylight,Open,Cellobiose,7.398007863,44.14732235,10.07563585
283,Este,Autumn,Daylight,Open,Control,2.12788467,12.85817143,
284,Este,Autumn,Daylight,Open,Control,0.905112049,3.094369419,
285,Este,Autumn,Daylight,Open,Control,0.314983483,122.5414481,
286,Este,Autumn,Daylight,Open,Control,0.867137122,6.543733333,
287,Este,Autumn,Daylight,Open,Control,0.902145258,6.920012698,
288,Este,Autumn,Daylight,Open,Control,0.083776929,2.98873258,
289,Este,Autumn,Daylight,Open,Control,0.672938446,45.47607874,
290,Este,Autumn,Daylight,Open,Control,0,,
291,Este,Autumn,Daylight,Open,Glucose,13.67430638,22.88619974,18.62357194
292,Este,Autumn,Daylight,Open,Glucose,13.8373471,46.22419453,18.84562346
293,Este,Autumn,Daylight,Open,Glucose,11.43193148,6.439780537,15.56959397
294,Este,Autumn,Daylight,Open,Glucose,12.85077931,10.49767296,17.50197825
295,Este,Autumn,Daylight,Open,Glucose,9.796196076,16.90907285,13.34182204
296,Este,Autumn,Daylight,Open,Glucose,12.29869386,34.55570541,16.75007152
297,Este,Autumn,Daylight,Open,Glucose,9.496435095,11.67643775,12.93356586
298,Este,Autumn,Daylight,Open,Glucose,10.93889644,15.27696957,14.8981103
677,Amberly,Spring,Buried Down,Buried,Arabinose,4.906919545,3.345296842,0.876921092
678,Amberly,Spring,Buried Down,Buried,Arabinose,3.271003039,3.028973344,0.584564619
679,Amberly,Spring,Buried Down,Buried,Arabinose,10.62549856,5.221936709,1.898894758
680,Amberly,Spring,Buried Down,Buried,Arabinose,8.498754301,7.5006,1.518821907
681,Amberly,Spring,Buried Down,Buried,Arabinose,11.86415182,6.487130909,2.120255869
